codigoEstacao;nomeEstacao;nivelConsistencia;valorMeo;origem_valorMeo;Latitude;Longitude;codigoRio;nomeRio;codigoBacia;nomeBacia;siglaUF;codigoMunicipio;nomeMunicipio;siglaResponsavel;siglaOperadora;statusApi;dtCadastro;dtAtualizacao
63001700;USINA DA COTRISA;2;0.0;;-19,542;-52,493;63123000;RIO INDAIÁ GRANDE;6;RIO PARANÁ;MS;28020000;CASSILÂNDIA;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001710;RIO MORANGAS;2;0.0;;-19,554;-52,165;63143000;RIO MORANGAS;6;RIO PARANÁ;MS;28031000;INOCÊNCIA;SEMA-MS;SEMA-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001740;PCH AREADO JUSANTE;2;0.0;;-19,548;-52,505;63123000;RIO INDAIÁ GRANDE;6;RIO PARANÁ;MS;28031000;INOCÊNCIA;AREADO;AREADO;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001745;PCH AREADO BARRAMENTO;2;0.0;;-19,545;-52,505;63123000;RIO INDAIÁ GRANDE;6;RIO PARANÁ;MS;28020400;CHAPADÃO DO SUL;AREADO;AREADO;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001750;MORANGAS;2;0.0;;-19,554;-52,165;63143000;RIO MORANGAS;6;RIO PARANÁ;MS;28031000;INOCÊNCIA;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001760;PCH BANDEIRANTE BARRAMENTO;2;0.0;;-19,53;-52,519;63123000;RIO INDAIÁ GRANDE;6;RIO PARANÁ;MS;28001000;ÁGUA CLARA;RIO AGUA CLARA;RIO AGUA CLARA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001790;RIO INDAIÁ GRANDE;2;0.0;;-19,47;-52,468;63123000;RIO INDAIÁ GRANDE;6;RIO PARANÁ;MS;28031000;INOCÊNCIA;SEMA-MS;SEMA-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001850;UHE JUPIÁ RIO SUCURIÚ;2;0.0;;-19,808;-52,275;63100000;RIO SUCURIÚ;6;RIO PARANÁ;MS;28055000;TRÊS LAGOAS;RIO PARANÁ;RIO PARANÁ;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001900;AHE INOCÊNCIA;2;0.0;;-19,867;-52,2;63100000;RIO SUCURIÚ;6;RIO PARANÁ;MS;28055000;TRÊS LAGOAS;ENERSUL;ENERSUL;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63001990;RIO SUCURIÚ;2;0.0;;-19,964;-52,219;63100000;RIO SUCURIÚ;6;RIO PARANÁ;MS;28031000;INOCÊNCIA;SEMA-MS;SEMA-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
63002000;SÃO JOSÉ DO SUCURIU;2;0.0;;-19,965;-52,219;63100000;RIO SUCURIÚ;6;RIO PARANÁ;MS;28055000;TRÊS LAGOAS;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
